Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Career_PPG_Global_Scaled,Championships_Global_Scaled,All_NBA_Teams_Global_Scaled,All_Defensive_Teams_Global_Scaled,Seasons_Played_Global_Scaled,Global_Classic_Index,Global_Classic_Rank
LeBron James,5,2010-2019,2,Point Forward / Playmaker,23,1622,19,302,4,4,20,6,26.8,28.2,45.8,48.6,48.1,4.0,4.4,0.59,0.329,0.313,2,2,2,0.869565217,1.4920229947164074,1.3856971709635437,3.4362938989080747,1.2436956839232938,2.4586322434697974,3.126149532691015,1
Kareem Abdul-Jabbar,2,1980-1989,1,Two-Way Paint Beast,20,1560,18,237,6,2,15,11,24.6,24.3,36.2,44.1,38.0,3.7,4.1,0.592,0.281,0.267,3,3,3,0.75,1.0343987228870386,2.40485509025286,2.2448781310384867,2.7267637588945854,1.5564302828832408,2.162729924960302,2
Kobe Bryant,4,2000-2009,0,Heliocentric Scorer,20,1346,15,220,5,2,15,12,25.0,25.6,37.2,45.1,39.1,3.8,4.2,0.55,0.286,0.272,10,7,11,0.75,1.1176031359469236,1.8952761306082018,2.2448781310384867,3.023377373888844,1.5564302828832408,2.1261238288417235,3
Tim Duncan,4,2000-2009,1,Two-Way Paint Beast,19,1392,18,251,5,3,15,15,19.0,20.6,36.3,43.4,38.1,2.8,3.1,0.551,0.282,0.268,8,4,7,0.789473684,-0.13046305995135518,1.8952761306082018,2.2448781310384867,3.913218218871619,1.2556962960210551,2.0486838197037,4
Shaquille O'Neal,4,2000-2009,1,Two-Way Paint Beast,19,1207,17,216,4,3,14,3,23.7,24.3,38.5,48.4,40.4,3.6,4.0,0.586,0.292,0.277,7,8,6,0.736842105,0.8471887935022965,1.3856971709635437,2.006594977464569,0.3538548389405187,1.2556962960210551,1.8614079096741976,5
Karl Malone,3,1990-1999,1,Two-Way Paint Beast,19,1476,19,193,2,0,14,4,25.0,24.7,42.3,47.9,44.4,3.8,4.2,0.577,0.312,0.296,17,15,22,0.736842105,1.1176031359469236,0.3665392516742277,2.006594977464569,0.6504684539347771,1.2556962960210551,1.7933959932532837,6
Bob Cousy,0,1960-1969,3,Floor General / Facilitator,14,924,13,109,6,0,12,0,18.4,18.5,,,,2.8,3.1,0.446,,,40,34,37,0.857142857,-0.25526967954118335,2.40485509025286,1.5300286703167338,-0.5359860060422563,-0.24797363828987237,1.4218497509883976,7
Bill Russell,0,1960-1969,5,Defensive Anchor / Glass Cleaner,13,963,13,165,11,0,11,1,15.1,16.2,,,,2.3,2.5,0.471,,,4,5,5,0.846153846,-0.9417060872852365,4.952749888476149,1.2917455167428162,-0.23937239104799798,-0.5487076251520578,1.3809306291853365,8
Michael Jordan,3,1990-1999,0,Heliocentric Scorer,15,1072,13,179,6,6,11,9,30.1,33.4,45.6,51.9,47.9,4.5,5.0,0.569,0.328,0.312,1,1,1,0.733333333,2.178459402460461,2.40485509025286,1.2917455167428162,2.133536528906069,0.05276034857231315,1.3631807185009768,9
John Havlicek,1,1970-1979,2,Point Forward / Playmaker,16,1270,13,172,8,1,11,8,20.8,22.0,26.0,,27.3,3.1,3.4,0.492,0.23,0.218,29,32,31,0.6875,0.24395679881812862,3.4240130095421755,1.2917455167428162,1.8369229139118106,0.35349433543449865,1.3630249212051146,10
