Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Modern_Athletic_Raw_Rank,Modern_Yahoo_Raw_Rank,Modern_BR_Raw_Rank,Modern_Consensus_Rank,Custom_Index_Score,Custom_Model_Rank,Rank_Deviation
LeBron James,5,2010-2019,2,Point Forward / Playmaker,23,1622,19,302,4,4,20,6,26.8,28.2,45.8,48.6,48.1,4.0,4.4,0.59,0.329,0.313,2,2,2,0.8695652173913043,2,2,2,2.0,75.03897860021809,1,-1.0
Michael Jordan,3,1990-1999,0,Heliocentric Scorer,15,1072,13,179,6,6,11,9,30.1,33.4,45.6,51.9,47.9,4.5,5.0,0.569,0.328,0.312,1,1,1,0.7333333333333333,1,1,1,1.0,67.41293289849148,2,1.0
Kobe Bryant,4,2000-2009,0,Heliocentric Scorer,20,1346,15,220,5,2,15,12,25.0,25.6,37.2,45.1,39.1,3.8,4.2,0.55,0.286,0.272,10,7,11,0.75,8,6,9,7.666666666666667,59.15108633534666,3,-4.666666666666667
Kareem Abdul-Jabbar,2,1980-1989,1,Two-Way Paint Beast,20,1560,18,237,6,2,15,11,24.6,24.3,36.2,44.1,38.0,3.7,4.1,0.592,0.281,0.267,3,3,3,0.75,3,3,3,3.0,56.500961548143636,4,1.0
Shaquille O'Neal,4,2000-2009,1,Two-Way Paint Beast,19,1207,17,216,4,3,14,3,23.7,24.3,38.5,48.4,40.4,3.6,4.0,0.586,0.292,0.277,7,8,6,0.7368421052631579,5,7,5,5.666666666666667,54.77636161972148,5,-0.666666666666667
Tim Duncan,4,2000-2009,1,Two-Way Paint Beast,19,1392,18,251,5,3,15,15,19.0,20.6,36.3,43.4,38.1,2.8,3.1,0.551,0.282,0.268,8,4,7,0.7894736842105263,6,4,6,5.333333333333333,53.34632377340517,6,0.666666666666667
Karl Malone,3,1990-1999,1,Two-Way Paint Beast,19,1476,19,193,2,0,14,4,25.0,24.7,42.3,47.9,44.4,3.8,4.2,0.577,0.312,0.296,17,15,22,0.7368421052631579,13,13,18,14.666666666666666,46.883531896281724,7,-7.666666666666666
Larry Bird,2,1980-1989,2,Point Forward / Playmaker,13,897,12,164,3,2,10,3,24.3,23.8,44.0,48.9,46.2,3.6,4.0,0.564,0.32,0.304,9,10,8,0.7692307692307693,7,8,7,7.333333333333333,42.41935114959879,8,0.666666666666667
Kevin Durant,5,2010-2019,0,Heliocentric Scorer,18,1201,14,171,2,2,11,0,27.1,29.3,42.4,44.7,44.5,4.1,4.5,0.622,0.312,0.296,14,12,13,0.6111111111111112,11,10,11,10.666666666666666,38.47857772756747,9,-1.666666666666666
Giannis,6,2020-2029,2,Point Forward / Playmaker,13,895,9,84,1,0,8,5,24.1,27.0,44.2,53.0,46.4,3.6,4.0,0.613,0.321,0.305,22,18,24,0.6153846153846154,18,16,20,18.0,36.834621349762486,10,-8.0
