Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Modern_Athletic_Raw_Rank,Modern_Yahoo_Raw_Rank,Modern_BR_Raw_Rank,Modern_Consensus_Rank,All_NBA_per_Season,PCA_Index_Score,PCA_Model_Rank,Rank_Deviation
Michael Jordan,3,1990-1999,0,Heliocentric Scorer,15,1072,13,179,6,6,11,9,30.1,33.4,45.6,51.9,47.9,4.5,5.0,0.569,0.328,0.312,1,1,1,0.733333333,1,1,1,1.0,0.7333333333333333,8.17057247611827,1,0.0
LeBron James,5,2010-2019,2,Point Forward / Playmaker,23,1622,19,302,4,4,20,6,26.8,28.2,45.8,48.6,48.1,4.0,4.4,0.59,0.329,0.313,2,2,2,0.869565217,2,2,2,2.0,0.8695652173913043,8.160810683275956,2,0.0
Kobe Bryant,4,2000-2009,0,Heliocentric Scorer,20,1346,15,220,5,2,15,12,25.0,25.6,37.2,45.1,39.1,3.8,4.2,0.55,0.286,0.272,10,7,11,0.75,8,6,9,7.666666666666667,0.75,6.401867625164849,3,-4.666666666666667
Shaquille O'Neal,4,2000-2009,1,Two-Way Paint Beast,19,1207,17,216,4,3,14,3,23.7,24.3,38.5,48.4,40.4,3.6,4.0,0.586,0.292,0.277,7,8,6,0.736842105,5,7,5,5.666666666666667,0.7368421052631579,6.319537354892833,4,-1.666666666666667
Kareem Abdul-Jabbar,2,1980-1989,1,Two-Way Paint Beast,20,1560,18,237,6,2,15,11,24.6,24.3,36.2,44.1,38.0,3.7,4.1,0.592,0.281,0.267,3,3,3,0.75,3,3,3,3.0,0.75,5.647226041373932,5,2.0
Larry Bird,2,1980-1989,2,Point Forward / Playmaker,13,897,12,164,3,2,10,3,24.3,23.8,44.0,48.9,46.2,3.6,4.0,0.564,0.32,0.304,9,10,8,0.769230769,7,8,7,7.333333333333333,0.7692307692307693,5.484948836330944,6,-1.333333333333333
Tim Duncan,4,2000-2009,1,Two-Way Paint Beast,19,1392,18,251,5,3,15,15,19.0,20.6,36.3,43.4,38.1,2.8,3.1,0.551,0.282,0.268,8,4,7,0.789473684,6,4,6,5.333333333333333,0.7894736842105263,5.4831808392580355,7,1.666666666666667
Karl Malone,3,1990-1999,1,Two-Way Paint Beast,19,1476,19,193,2,0,14,4,25.0,24.7,42.3,47.9,44.4,3.8,4.2,0.577,0.312,0.296,17,15,22,0.736842105,13,13,18,14.666666666666666,0.7368421052631579,5.41534539029961,8,-6.666666666666666
Kevin Durant,5,2010-2019,0,Heliocentric Scorer,18,1201,14,171,2,2,11,0,27.1,29.3,42.4,44.7,44.5,4.1,4.5,0.622,0.312,0.296,14,12,13,0.611111111,11,10,11,10.666666666666666,0.6111111111111112,5.266170553184586,9,-1.666666666666666
Hakeem Olajuwon,3,1990-1999,1,Two-Way Paint Beast,18,1238,15,145,2,2,12,9,21.8,25.9,37.7,45.3,39.6,3.3,3.6,0.553,0.289,0.275,11,14,12,0.666666667,9,12,10,10.333333333333334,0.6666666666666666,4.237035312651905,10,-0.3333333333333339
Magic Johnson,2,1980-1989,2,Point Forward / Playmaker,13,906,13,190,5,3,10,0,19.5,19.5,40.4,44.0,42.4,2.9,3.2,0.61,0.302,0.287,5,6,4,0.769230769,4,5,4,4.333333333333333,0.7692307692307693,3.8974967690632054,11,6.666666666666667
Giannis Antetokounmpo,6,2020-2029,2,Point Forward / Playmaker,13,895,9,84,1,0,8,5,24.1,27.0,44.2,53.0,46.4,3.6,4.0,0.613,0.321,0.305,22,18,24,0.615384615,18,16,20,18.0,0.6153846153846154,3.6331085363046633,12,-6.0
Nikola Jokic,6,2020-2029,2,Point Forward / Playmaker,11,810,8,100,1,1,6,0,22.2,27.4,45.8,55.0,48.1,3.3,3.6,0.641,0.329,0.313,28,21,17,0.545454545,22,18,13,17.666666666666668,0.5454545454545454,3.5555431260099852,13,-4.666666666666668
Stephen Curry,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,17,1069,10,155,4,1,10,0,24.8,26.8,38.7,42.6,40.6,3.7,4.1,0.626,0.294,0.279,12,13,10,0.588235294,10,11,8,9.666666666666666,0.5882352941176471,3.4868642958734575,14,4.333333333333334
Dirk Nowitzki,4,2000-2009,2,Point Forward / Playmaker,21,1522,15,145,1,1,12,0,20.7,25.3,33.8,42.2,35.5,3.1,3.4,0.577,0.269,0.256,20,17,18,0.571428571,16,15,14,15.0,0.5714285714285714,3.4760323095822927,15,0.0
