Player_Name,Context_Length,Respect_Score,Failings_Score,Positive_Attitude_Score,Negative_Attitude_Score
Michael Jordan,9431,88.987,87.715,87.042,86.856
LeBron James,6350,87.541,85.519,85.098,84.374
Kareem Abdul-Jabbar,7211,88.779,87.459,86.627,86.538
Bill Russell,11689,88.076,86.66,85.923,85.637
Magic Johnson,9582,88.303,86.878,86.224,86.014
Wilt Chamberlain,8574,88.629,86.958,86.372,86.053
Shaquille O'Neal,8640,87.251,85.785,85.153,84.864
Tim Duncan,4579,87.769,86.457,85.667,85.433
Larry Bird,8801,88.51,87.321,86.697,86.444
Kobe Bryant,7144,89.283,88.196,87.411,87.388
Hakeem Olajuwon,5286,89.056,88.264,87.187,87.425
Stephen Curry,7020,88.038,86.453,86.059,85.406
Oscar Robertson,4762,89.029,87.497,86.858,86.629
Kevin Durant,5663,89.601,88.076,87.473,87.094
Julius Erving,6743,89.143,87.501,86.887,86.624
Jerry West,8340,89.39,88.351,87.732,87.581
Karl Malone,7017,89.264,88.361,87.213,87.407
Kevin Garnett,5332,89.296,88.082,87.317,87.187
Moses Malone,4635,87.742,85.98,85.264,84.936
Dirk Nowitzki,6165,88.805,87.411,86.636,86.392
David Robinson,2316,88.003,86.484,85.931,85.615
Giannis Antetokounmpo,5534,89.013,87.881,87.106,87.03
Charles Barkley,6600,88.032,86.848,86.184,85.98
Elgin Baylor,4462,88.717,87.12,86.55,86.101
Isiah Thomas,3461,87.694,86.284,85.629,85.28
Rick Barry,3202,89.607,88.161,87.562,87.28
Dwyane Wade,7379,86.964,85.313,84.953,84.44
Nikola Jokic,544,94.7,92.719,92.809,91.878
John Havlicek,3909,88.165,86.991,86.254,85.987
Scottie Pippen,6316,89.122,87.799,86.951,86.853
Chris Paul,7985,89.183,87.978,87.28,87.064
Bob Pettit,1639,87.05,85.4,84.708,84.529
John Stockton,1884,86.179,84.489,83.673,83.464
James Harden,7176,86.656,84.848,84.578,83.861
Kawhi Leonard,3749,88.288,86.948,86.276,86.054
George Mikan,5027,89.615,88.774,88.146,87.987
Jason Kidd,5146,87.011,85.178,84.711,84.105
Patrick Ewing,2948,88.798,87.421,86.82,86.506
Steve Nash,5473,87.55,86.445,85.629,85.504
Bob Cousy,4701,89.279,88.276,87.334,87.278
Joel Embiid,2309,88.536,87.331,86.51,86.355
Elvin Hayes,7150,88.999,87.614,86.941,86.695
George Gervin,1904,86.219,84.697,84.16,83.75
Clyde Drexler,2428,88.223,86.887,86.126,86.024
Willis Reed,2043,87.122,85.697,85.009,84.81
Walt Frazier,1625,86.386,84.472,83.988,83.63
Russell Westbrook,4371,88.856,87.318,86.627,86.463
Reggie Miller,3595,88.425,87.154,86.385,86.22
Allen Iverson,6719,88.968,87.754,87.116,86.936
Gary Payton,1240,89.185,87.528,86.887,86.598
Paul Pierce,5068,88.051,86.861,86.189,85.998
Kevin McHale,1800,87.286,86.663,85.558,85.926
Luka Doncic,1435,87.812,87.208,86.235,86.531
Dominique Wilkins,4880,89.034,87.409,86.857,86.517
Ray Allen,4925,89.03,87.55,86.678,86.582
Dwight Howard,2917,87.704,86.596,85.877,85.734
Anthony Davis,4585,88.78,87.558,86.772,86.665
Bob McAdoo,2145,87.686,86.242,85.507,85.312
James Worthy,2118,87.19,85.532,85.007,84.5
Tracy McGrady,2821,88.593,87.1,86.307,86.103
Dave Cowens,2301,87.661,86.27,85.719,85.414
Wes Unseld,3486,88.224,86.953,86.346,86.126
Dolph Schayes,1789,86.409,85.193,84.333,84.294
Dennis Rodman,5641,88.849,87.56,86.885,86.806
Damian Lillard,2327,88.714,87.677,86.853,86.869
Carmelo Anthony,4181,89.03,88.12,87.141,87.318
Earl Monroe,2239,86.515,84.72,84.165,83.871
Chris Webber,3997,88.723,87.731,86.887,86.768
Billy Cunningham,2407,88.771,87.116,86.487,86.115
Nate Archibald,1529,88.345,87.278,86.484,86.427
Robert Parish,4806,87.476,86.331,85.316,85.362
Paul George,2348,86.908,85.8,84.959,84.894
Hal Greer,1201,88.009,86.078,85.649,85.21
Bill Walton,6788,89.046,87.859,86.922,86.772
Alonzo Mourning,3242,88.34,87.406,86.581,86.615
Jerry Lucas,2073,85.442,83.963,83.187,82.84
Sam Jones,557,93.121,91.1,91.136,90.249
Pau Gasol,5325,87.988,86.728,85.926,85.74
Alex English,3406,86.343,84.953,84.219,83.938
