NLP_Rank,Player_Name,Overall_NLP_Score,Respect_Score,Failings_Score,Positive_Attitude_Score,Negative_Attitude_Score,Context_Length
1,Spencer Haywood,3.9,94.44,91.727,92.112,90.925,423
2,Paul Arizin,3.567,94.308,91.849,92.049,90.941,488
3,Nikola Jokic,2.912,94.7,92.719,92.809,91.878,544
4,Sam Jones,2.908,93.121,91.1,91.136,90.249,557
5,LeBron James,2.746,87.541,85.519,85.098,84.374,6350
6,James Harden,2.525,86.656,84.848,84.578,83.861,7176
7,Jason Kidd,2.439,87.011,85.178,84.711,84.105,5146
8,Draymond Green,2.425,87.033,85.306,85.008,84.31,4501
9,Hal Greer,2.37,88.009,86.078,85.649,85.21,1201
10,Dave DeBusschere,2.32,85.192,83.223,82.582,82.231,1631
11,Bernard King,2.319,88.968,87.094,86.675,86.23,1233
12,Horace Grant,2.29,87.032,85.337,85.092,84.497,1486
13,Walt Frazier,2.272,86.386,84.472,83.988,83.63,1625
14,Stephen Curry,2.238,88.038,86.453,86.059,85.406,7020
15,Manu Ginobili,2.23,94.566,93.022,93.149,92.463,419
16,Bob Lanier,2.198,88.109,86.268,85.646,85.289,1319
17,James Worthy,2.165,87.19,85.532,85.007,84.5,2118
18,Dwyane Wade,2.164,86.964,85.313,84.953,84.44,7379
19,Grant Hill,2.124,87.592,86.055,85.688,85.101,6719
20,Moses Malone,2.09,87.742,85.98,85.264,84.936,4635
21,Earl Monroe,2.089,86.515,84.72,84.165,83.871,2239
22,Elgin Baylor,2.046,88.717,87.12,86.55,86.101,4462
23,Billy Cunningham,2.027,88.771,87.116,86.487,86.115,2407
24,Wilt Chamberlain,1.99,88.629,86.958,86.372,86.053,8574
25,Klay Thompson,1.974,87.899,86.368,85.931,85.488,5980
26,Dominique Wilkins,1.965,89.034,87.409,86.857,86.517,4880
27,Gary Payton,1.946,89.185,87.528,86.887,86.598,1240
28,George Gervin,1.932,86.219,84.697,84.16,83.75,1904
29,Julius Erving,1.905,89.143,87.501,86.887,86.624,6743
30,Kevin Durant,1.904,89.601,88.076,87.473,87.094,5663
31,John Stockton,1.899,86.179,84.489,83.673,83.464,1884
32,David Robinson,1.835,88.003,86.484,85.931,85.615,2316
33,Bob Pettit,1.829,87.05,85.4,84.708,84.529,1639
34,Jerry Lucas,1.826,85.442,83.963,83.187,82.84,2073
35,Adrian Dantley,1.806,86.476,84.784,84.1,83.986,1625
36,Nate Thurmond,1.796,86.936,85.359,84.647,84.428,2081
37,Oscar Robertson,1.761,89.029,87.497,86.858,86.629,4762
38,Isiah Thomas,1.759,87.694,86.284,85.629,85.28,3461
39,Shaquille O'Neal,1.755,87.251,85.785,85.153,84.864,8640
40,Bill Sharman,1.751,88.675,87.296,86.846,86.474,3926
41,Rick Barry,1.728,89.607,88.161,87.562,87.28,3202
42,Bill Russell,1.702,88.076,86.66,85.923,85.637,11689
43,Russell Westbrook,1.702,88.856,87.318,86.627,86.463,4371
44,Tracy McGrady,1.697,88.593,87.1,86.307,86.103,2821
45,Dave Cowens,1.696,87.661,86.27,85.719,85.414,2301
46,Patrick Ewing,1.691,88.798,87.421,86.82,86.506,2948
47,Lenny Wilkens,1.682,87.998,86.499,85.763,85.58,3793
48,Alex English,1.671,86.343,84.953,84.219,83.938,3406
49,Artis Gilmore,1.649,87.882,86.463,85.718,85.488,5419
50,Bob McAdoo,1.639,87.686,86.242,85.507,85.312,2145
51,Dirk Nowitzki,1.638,88.805,87.411,86.636,86.392,6165
52,Magic Johnson,1.635,88.303,86.878,86.224,86.014,9582
53,Elvin Hayes,1.631,88.999,87.614,86.941,86.695,7150
54,Willis Reed,1.624,87.122,85.697,85.009,84.81,2043
55,Kyle Lowry,1.623,88.46,87.144,86.355,86.048,3725
56,Ray Allen,1.576,89.03,87.55,86.678,86.582,4925
57,Kawhi Leonard,1.562,88.288,86.948,86.276,86.054,3749
58,Tim Duncan,1.546,87.769,86.457,85.667,85.433,4579
59,Wes Unseld,1.491,88.224,86.953,86.346,86.126,3486
60,Vince Carter,1.464,89.587,88.177,87.491,87.437,5447
61,Michael Jordan,1.458,88.987,87.715,87.042,86.856,9431
62,Ben Wallace,1.453,87.704,86.407,85.566,85.41,2865
63,Chauncey Billups,1.449,87.014,85.835,85.099,84.829,3702
